epoch	capability	attribute	value	unit	deviceLabel	location	deviceId
2023-02-16T20:43:09Z	relativeHumidityMeasurement	humidity	58	%	Sensor: roof	roof	195a04c2-e49d-4a4c4d-919399-13dcf6e9a782
2023-02-16T20:47:20Z	relativeHumidityMeasurement	humidity	59	%	Sensor: roof	roof	195a04c2-e49d-4a4c4d-919399-13dcf6e9a782
2023-02-16T20:49:41Z	relativeHumidityMeasurement	humidity	60	%	Sensor: roof	roof	195a04c2-e49d-4a4c4d-919399-13dcf6e9a782
2023-02-16T20:53:04Z	temperatureMeasurement	temperature	19	°C	Sensor: roof	roof	195a04c2-e49d-4a4c4d-919399-13dcf6e9a782
2023-02-16T20:54:02Z	relativeHumidityMeasurement	humidity	61	%	Sensor: roof	roof	195a04c2-e49d-4a4c4d-919399-13dcf6e9a782
2023-02-16T20:58:30Z	switch	switch	on		Light: bath	bathroom	ab634e18-827f-4d4643-b7b8b0-4810253da7be
2023-02-16T20:58:30Z	switch	switch	off		Light: bath	bathroom	ab634e18-827f-4d4643-b7b8b0-4810253da7be
2023-02-16T20:58:36Z	switch	switch	off		Light: basin	bathroom	715f3ced-57ae-4b424a-83878c-35fdb0a12c86
2023-02-16T20:58:39Z	switch	switch	off		Light: shelf	bathroom	53de4f8b-925f-4c4740-bdbcbe-5e60b1294a7f
2023-02-16T21:06:18Z	switch	switch	on		Light: TV	living room	7c6efa82-c43d-46484d-878281-27563e810c4a
2023-02-16T21:06:19Z	powerMeter	power	6	W	Light: TV	living room	7c6efa82-c43d-46484d-878281-27563e810c4a
2023-02-16T21:08:45Z	switch	switch	off		TV	living room	0174c95f-78bf-4b4a45-9c969d-ca795240bf3d
2023-02-16T21:12:27Z	switch	switch	on		Light: bath	bathroom	ab634e18-827f-4d4643-b7b8b0-4810253da7be
2023-02-16T21:15:01Z	colorControl	saturation	97		Light: sofa	living room	3e7cf5b6-9d40-44424f-aca1a0-7a4392501bcd
