time,temperature_2m,relativehumidity_2m,rain,snowfall,windspeed_10m,winddirection_10m,soil_temperature_0_to_7cm,SourceId
1672531200,14.3,63,0.0,0.0,41.3,222,11.9,4
1672534800,14.2,64,0.0,0.0,40.0,222,11.8,4
1672538400,13.6,68,0.0,0.0,41.2,226,11.7,4
1672542000,12.8,76,0.3,0.0,41.9,233,11.5,4
1672545600,11.9,85,0.3,0.0,36.9,231,11.1,4
1672549200,11.5,84,0.0,0.0,33.9,229,10.8,4
1672552800,11.2,80,0.0,0.0,31.6,228,10.5,4
1672556400,11.7,81,0.0,0.0,30.6,224,10.6,4
1672560000,11.4,81,0.1,0.0,32.7,229,10.5,4
1672563600,11.5,78,0.0,0.0,31.5,231,10.5,4
1672567200,11.6,77,0.0,0.0,28.6,230,10.6,4
1672570800,11.9,75,0.0,0.0,27.0,226,10.9,4
1672574400,12.1,74,0.0,0.0,24.9,219,11.2,4
1672578000,12.3,72,0.0,0.0,23.1,214,11.3,4
1672581600,11.9,73,0.0,0.0,20.9,216,11.1,4
1672585200,11.6,75,0.0,0.0,18.3,200,10.9,4
1672588800,11.3,77,0.1,0.0,18.4,186,10.6,4
1672592400,11.1,81,0.3,0.0,19.5,182,10.5,4
1672596000,10.9,83,0.2,0.0,19.4,179,10.3,4
1672599600,10.7,89,0.5,0.0,19.9,174,10.2,4
1672603200,10.5,91,0.6,0.0,16.9,168,10.1,4
1672606800,10.4,91,0.2,0.0,16.9,164,10.0,4
1672610400,10.6,90,0.1,0.0,17.4,187,10.0,4
1672614000,11.2,88,0.1,0.0,20.5,208,10.1,4
1672617600,11.6,87,0.3,0.0,19.6,206,10.2,4
1672621200,11.7,89,0.2,0.0,20.5,208,10.3,4
1672624800,11.8,89,0.1,0.0,22.9,210,10.4,4
1672628400,11.1,91,0.1,0.0,24.2,221,10.3,4
1672632000,10.1,94,0.1,0.0,22.0,255,10.1,4
1672635600,9.5,93,0.1,0.0,17.7,272,9.8,4
1672639200,9.1,94,0.2,0.0,14.6,260,9.6,4
1672642800,8.8,94,0.2,0.0,18.8,250,9.3,4
1672646400,8.7,92,0.3,0.0,18.8,250,9.1,4
1672650000,8.6,92,0.2,0.0,18.0,237,9.0,4
1672653600,8.8,91,0.1,0.0,16.5,238,9.0,4
1672657200,9.4,91,0.0,0.0,17.6,235,9.4,4
1672660800,9.3,90,0.5,0.0,16.9,236,9.5,4
1672664400,9.0,89,0.2,0.0,17.9,245,9.4,4
1672668000,8.7,89,0.1,0.0,19.6,253,9.2,4
1672671600,8.5,89,0.1,0.0,16.2,257,9.0,4
1672675200,7.9,90,0.0,0.0,14.2,254,8.7,4
1672678800,7.2,91,0.0,0.0,13.5,261,8.2,4
1672682400,6.9,91,0.0,0.0,11.9,267,7.9,4
1672686000,6.9,89,0.0,0.0,10.2,260,7.7,4
1672689600,6.4,89,0.0,0.0,9.4,252,7.3,4
1672693200,6.1,89,0.0,0.0,9.3,242,7.1,4
1672696800,5.8,89,0.0,0.0,11.0,247,6.8,4
1672700400,5.8,90,0.0,0.0,10.6,246,6.7,4
1672704000,5.6,91,0.0,0.0,8.6,237,6.6,4
1672707600,5.5,92,0.0,0.0,7.7,221,6.5,4
1672711200,5.2,94,0.0,0.0,7.3,200,6.3,4
1672714800,4.8,95,0.0,0.0,10.4,180,6.1,4
1672718400,4.6,96,0.1,0.0,12.1,170,6.0,4
1672722000,4.6,96,0.4,0.0,14.0,162,5.9,4
1672725600,4.7,96,0.1,0.0,16.1,164,5.9,4
1672729200,4.7,96,0.0,0.0,18.1,174,5.9,4
1672732800,5.1,95,0.0,0.0,18.5,187,6.0,4
1672736400,5.7,94,0.0,0.0,18.9,194,6.3,4
1672740000,6.6,94,0.0,0.0,19.7,189,6.7,4
1672743600,7.5,90,0.0,0.0,25.5,199,7.3,4
1672747200,8.0,89,0.0,0.0,26.8,204,7.6,4
1672750800,8.5,86,0.0,0.0,22.5,196,8.0,4
1672754400,8.6,86,0.0,0.0,24.6,192,8.1,4
1672758000,8.7,86,0.0,0.0,25.6,191,8.1,4
1672761600,8.6,86,0.0,0.0,27.3,189,7.9,4
1672765200,8.9,84,0.1,0.0,28.9,190,7.9,4
1672768800,9.1,83,0.1,0.0,30.8,191,8.0,4
1672772400,8.7,85,0.1,0.0,32.6,193,7.9,4
1672776000,8.9,83,0.1,0.0,33.7,194,8.0,4
1672779600,9.1,82,0.1,0.0,35.1,195,8.0,4
1672783200,9.5,81,0.2,0.0,37.2,197,8.2,4
1672786800,9.7,82,0.3,0.0,40.3,199,8.3,4
1672790400,9.7,87,0.4,0.0,41.4,206,8.4,4
